NO,time,GENDER,AGE,GRADE,SL1,SL2,*SL3,EL4,*EL5,*SL6,*SL7,EL8,*EL9,EL10,EL11,*SL12,*SL13,*SL14,EL15,EL16,L17,L18,L19,PA1,PB1,BA1,BB1,PA2,PB2,BA2,BB2,PA3,PB3,BA3,BB3,PA4,PB4,BA4,BB4,ES.E,ES.S,DJ.E,DJ.S,UCLA,P.PN,P.CN,B.PN,B.CN,ES.E-ES.S,DJ.E-DJ.S,P.PN-P.CN,B.PN-B.CN
2,232,1,24,4,3,2,3,2,4,5,5,4,5,3,3,3,3,3,3,3,1,2,1,2,3,2,3,3,4,3,4,4,3,5,3,3,5,3,5,12,9,9,6,4,15,12,16,12,3,3,3,4
3,238,2,NA,4,1,2,2,1,4,4,4,4,2,4,1,3,3,3,2,1,1,1,1,4,3,4,3,4,5,4,5,4,3,3,3,4,4,3,3,15,10,4,6,3,17,14,15,13,5,-2,3,2
4,90,1,20,2,4,5,1,1,5,3,5,3,1,2,4,2,4,4,2,4,2,1,1,3,3,2,1,1,3,3,4,3,3,3,3,2,2,3,2,12,17,10,5,4,11,9,11,10,-5,5,2,1
5,264,2,24,4,2,3,4,3,5,4,4,2,4,2,2,3,2,2,3,3,2,2,2,4,3,4,2,3,4,3,4,4,3,4,3,3,4,3,4,10,10,8,8,6,16,12,16,11,0,0,4,5
6,239,1,23,4,2,2,4,2,1,4,4,4,3,4,2,4,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,2,1,3,18,9,6,4,3,6,4,8,4,9,2,2,4
8,214,2,23,4,3,3,4,2,4,4,4,2,4,3,2,4,4,4,3,3,2,1,2,3,4,3,4,3,4,3,4,4,4,4,4,3,4,3,4,11,11,8,3,5,15,14,15,14,0,5,1,1
9,149,2,21,3,2,3,2,4,2,3,3,2,3,2,2,3,3,3,2,2,2,2,2,4,3,4,3,4,4,4,4,5,4,4,3,3,4,3,4,15,14,6,6,6,17,14,16,13,1,0,3,3
10,166,2,25,4,2,3,4,2,1,4,5,1,1,1,1,4,4,4,1,2,2,1,1,5,3,4,3,5,5,5,5,5,3,2,2,5,5,5,3,14,9,4,3,4,20,16,14,15,5,1,4,-1
11,193,1,NA,4,2,4,3,3,2,4,2,2,2,5,3,3,3,2,3,2,2,2,2,3,3,2,2,4,4,4,4,3,4,2,4,4,4,3,4,18,14,8,7,6,14,15,12,13,4,1,-1,-1
12,452,2,21,4,2,3,4,2,1,2,4,1,2,4,3,3,4,4,4,2,2,1,1,4,3,3,3,5,4,3,3,4,3,3,3,4,4,3,3,16,12,9,4,4,16,15,12,12,4,5,1,0
14,394,1,31,5,2,3,4,3,4,4,4,2,3,4,2,4,3,3,3,2,1,1,1,4,2,4,3,4,3,4,3,3,4,3,4,2,4,3,4,14,10,7,5,3,14,12,14,14,4,2,2,0
15,620,2,23,4,2,3,3,3,4,3,3,2,3,3,3,2,2,3,3,2,1,1,2,4,3,3,3,3,3,3,3,5,4,3,2,4,4,3,3,13,13,8,8,4,16,14,12,11,0,0,2,1
16,305,2,36,5,3,3,3,4,2,3,2,3,4,4,3,2,2,2,2,2,2,2,2,5,2,4,2,3,4,3,4,4,2,3,3,5,4,3,3,17,15,7,9,6,17,12,14,11,2,-2,5,3
17,308,2,28,5,3,4,2,3,3,3,2,3,3,4,3,2,2,2,3,3,3,3,2,4,3,4,3,4,3,4,3,3,3,3,3,3,4,3,4,16,17,9,9,8,14,13,14,13,-1,0,1,1
18,136,1,23,4,2,3,4,2,4,4,5,2,3,2,3,3,4,3,4,3,2,2,1,4,4,4,3,4,5,3,4,5,4,4,3,4,5,3,4,11,9,10,5,5,19,16,16,12,2,5,3,4
