NO,time,GENDER,AGE,GRADE,SL1,SL2,*SL3,EL4,*EL5,*SL6,*SL7,EL8,*EL9,EL10,EL11,*SL12,*SL13,*SL14,EL15,EL16,L17,L18,L19,PA1,PB1,BA1,BB1,PA2,PB2,BA2,BB2,PA3,PB3,BA3,BB3,PA4,PB4,BA4,BB4,ES.E,ES.S,DJ.E,DJ.S,UCLA,P.PN,P.CN,B.PN,B.CN,ES.E-ES.S,DJ.E-DJ.S,P.PN-P.CN,B.PN-B.CN
28,155,1,22,3,3,4,4,4,2,2,2,4,4,2,3,2,2,2,2,3,3,2,2,5,2,4,3,5,2,4,3,5,2,4,2,2,5,3,4,16,16,8,9,7,17,11,15,12,0,-1,6,3
29,171,1,NA,4,2,1,4,2,5,5,5,3,5,1,1,3,3,3,4,1,1,1,2,4,5,5,4,4,5,4,5,4,5,4,5,3,5,3,5,8,6,6,6,4,18,17,19,16,2,0,1,3
30,419,2,24,4,2,3,4,3,5,5,4,1,4,1,2,4,4,4,3,1,1,1,2,5,4,4,3,4,5,3,5,5,4,4,3,3,5,2,4,8,9,6,3,4,20,15,17,11,-1,3,5,6
31,369,1,22,3,2,2,4,2,4,4,4,2,4,4,2,3,3,3,3,2,1,1,1,4,2,4,2,2,4,2,4,4,2,4,2,2,4,2,4,12,9,7,6,3,16,8,16,8,3,1,8,8
32,225,2,20,3,4,5,4,5,2,2,2,4,2,4,4,2,2,1,2,3,3,3,3,4,3,3,2,4,3,3,2,3,2,2,1,4,3,3,2,21,18,9,10,9,13,13,9,9,3,-1,0,0
33,185,2,NA,3,3,2,2,2,4,4,4,2,4,2,2,3,3,3,2,2,2,2,1,3,2,2,2,3,2,2,2,4,2,3,3,4,5,4,5,10,12,6,6,5,14,11,12,11,-2,0,3,1
34,197,1,28,4,2,2,2,2,4,4,4,2,4,2,2,3,3,4,3,2,1,1,1,4,2,4,2,3,3,3,3,3,3,3,3,2,4,3,4,10,11,7,5,3,14,10,14,11,-1,2,4,3
35,698,2,21,2,3,3,2,2,5,4,4,2,4,2,3,3,3,3,3,2,1,1,1,2,4,3,4,4,2,4,3,4,2,4,3,2,4,2,4,9,13,8,6,3,12,12,14,13,-4,2,0,1
36,346,1,22,2,2,2,4,1,4,4,4,2,4,2,1,4,3,3,3,2,1,1,1,3,5,3,4,4,3,4,3,4,3,4,3,4,3,4,3,9,9,6,5,3,13,16,13,15,0,1,-3,-2
37,223,2,23,4,1,2,2,1,5,5,5,1,5,4,2,4,3,4,3,2,1,1,1,2,5,3,4,5,3,4,2,3,5,3,5,5,2,5,3,8,8,7,4,3,10,20,11,18,0,3,-10,-7
38,202,1,19,2,3,2,5,2,5,5,4,2,3,1,2,3,3,4,3,2,1,1,1,5,3,5,3,5,3,5,4,5,1,5,2,5,4,5,4,9,8,7,5,3,17,14,18,15,1,2,3,3
39,129,2,21,3,2,3,3,2,3,4,4,2,3,2,2,3,3,3,3,2,2,2,2,4,3,4,4,4,5,4,4,4,3,4,3,3,5,3,4,12,11,7,6,6,18,13,16,14,1,1,5,2
40,162,2,NA,3,3,2,2,1,2,3,4,3,3,3,2,3,2,3,3,2,2,2,2,3,4,2,3,2,4,2,4,4,2,4,3,3,3,4,4,14,13,7,7,6,14,11,14,12,1,0,3,2
41,310,2,25,4,2,2,3,3,4,4,4,2,3,2,2,3,3,3,3,2,2,1,1,2,4,2,4,2,4,2,4,4,2,4,2,2,4,2,4,12,10,7,6,4,14,10,14,10,2,1,4,4
42,411,2,19,5,2,2,5,4,4,4,5,1,5,1,2,3,3,4,4,1,2,1,1,5,3,5,3,5,3,5,3,3,5,4,5,3,5,3,5,9,7,7,5,4,16,16,17,16,2,2,0,1
43,449,2,20,2,3,3,3,3,4,3,3,3,2,2,3,3,3,3,3,3,2,2,2,4,3,4,3,3,4,3,4,4,3,4,3,4,4,4,4,14,14,9,6,6,16,13,16,13,0,3,3,3
