NO,time,GENDER,AGE,GRADE,SL1,SL2,*SL3,EL4,*EL5,*SL6,*SL7,EL8,*EL9,EL10,EL11,*SL12,*SL13,*SL14,EL15,EL16,L17,L18,L19,PA1,PB1,BA1,BB1,PA2,PB2,BA2,BB2,PA3,PB3,BA3,BB3,PA4,PB4,BA4,BB4,ES.E,ES.S,DJ.E,DJ.S,UCLA,P.PN,P.CN,B.PN,B.CN,ES.E-ES.S,DJ.E-DJ.S,P.PN-P.CN,B.PN-B.CN
28,223,2,23,4,1,2,2,1,5,5,5,1,5,4,2,4,3,4,3,2,1,1,1,2,5,3,4,5,3,4,2,3,5,3,5,5,2,5,3,8,9,7,4,3,10,20,11,18,-1,3,-10,-7
29,202,1,19,2,3,2,5,2,5,5,4,2,3,1,2,3,3,4,3,2,1,1,1,5,3,5,3,5,3,5,4,5,1,5,2,5,4,5,4,9,9,7,5,3,17,14,18,15,0,2,3,3
30,129,2,21,3,2,3,3,2,3,4,4,2,3,2,2,3,3,3,3,2,2,2,2,4,3,4,4,4,5,4,4,4,3,4,3,3,5,3,4,12,12,7,6,6,18,13,16,14,0,1,5,2
31,162,2,NA,3,3,2,2,1,2,3,4,3,3,3,2,3,2,3,3,2,2,2,2,3,4,2,3,2,4,2,4,4,2,4,3,3,3,4,4,14,14,7,7,6,14,11,14,12,0,0,3,2
32,310,2,25,4,2,2,3,3,4,4,4,2,3,2,2,3,3,3,3,2,2,1,1,2,4,2,4,2,4,2,4,4,2,4,2,2,4,2,4,12,11,7,6,4,14,10,14,10,1,1,4,4
33,411,2,19,5,2,2,5,4,4,4,5,1,5,1,2,3,3,4,4,1,2,1,1,5,3,5,3,5,3,5,3,3,5,4,5,3,5,3,5,9,8,7,5,4,16,16,17,16,1,2,0,1
34,449,2,20,2,3,3,3,3,4,3,3,3,2,2,3,3,3,3,3,3,2,2,2,4,3,4,3,3,4,3,4,4,3,4,3,4,4,4,4,14,15,9,6,6,16,13,16,13,-1,3,3,3
35,445,1,21,2,2,2,4,3,4,5,4,2,4,2,3,4,4,4,4,1,1,1,1,5,4,5,4,4,5,4,5,5,4,5,4,4,5,4,5,11,9,8,3,3,20,16,20,16,2,5,4,4
36,139,2,34,5,3,3,2,3,3,3,4,3,3,2,3,2,3,3,2,2,2,2,2,3,4,3,3,4,3,3,3,3,3,3,3,3,4,3,3,14,15,7,7,6,13,14,12,12,-1,0,-1,0
37,155,2,22,3,3,4,3,4,3,4,3,4,4,3,4,3,3,3,4,3,2,3,2,4,5,4,4,4,5,4,3,4,5,3,4,4,5,4,5,16,15,11,6,7,18,18,15,16,1,5,0,-1
